72388 VEF Las Vegas Observations at 00Z 14 Sep 2015

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0      9                                                               
  927.0    697   36.8    3.8     13   5.45    225     13  316.7  334.4  317.8
  925.0    717   36.2    8.2     18   7.43    230     13  316.3  340.1  317.7
  917.0    796   34.4    7.4     19   7.09    232     14  315.3  337.9  316.6
  905.0    914   33.2    7.0     20   6.96    235     15  315.3  337.5  316.6
  874.7   1219   30.3    5.8     21   6.64    235     16  315.3  336.6  316.5
  850.0   1475   27.8    4.8     23   6.38    225     19  315.2  335.7  316.5
  835.0   1632   26.2    4.2     24   6.23    229     17  315.2  335.2  316.4
  816.1   1829   24.3    3.5     26   6.05    235     14  315.2  334.7  316.4
  787.6   2134   21.4    2.3     28   5.77    215     12  315.4  333.9  316.4
  760.3   2438   18.5    1.2     31   5.51    215     11  315.4  333.2  316.5
  733.8   2743   15.6    0.0     35   5.25    230     15  315.4  332.4  316.4
  711.0   3014   13.0   -1.0     38   5.03    237     12  315.4  331.7  316.4
  700.0   3145   11.8   -0.2     44   5.42    240     11  315.5  333.0  316.6
  657.6   3658    6.8   -1.4     56   5.26    245     11  315.6  332.6  316.6
  610.6   4267    0.9   -2.9     75   5.08    250     10  315.6  332.0  316.5
  605.0   4342    0.2   -3.1     78   5.06    246     10  315.6  331.9  316.5
  594.0   4490   -0.7   -6.7     64   3.92    237     11  316.2  329.0  316.9
  580.0   4680   -2.3   -6.8     71   3.98    226     11  316.5  329.5  317.2
  570.0   4819   -2.1   -4.1     86   4.98    218     12  318.3  334.6  319.2
  565.8   4877   -2.5   -4.5     86   4.89    215     12  318.5  334.5  319.5
  507.0   5742   -7.9   -9.6     88   3.66    255     17  322.1  334.4  322.8
  502.0   5819   -8.3  -11.3     79   3.23    259     18  322.5  333.4  323.1
  500.0   5850   -8.3  -11.3     79   3.24    260     18  322.9  333.9  323.5
  484.3   6096   -9.5  -14.0     70   2.69    260     16  324.3  333.6  324.9
  469.0   6342  -10.7  -16.7     61   2.22    260     16  325.8  333.6  326.3
  430.0   7000  -16.1  -19.2     77   1.96    260     14  327.1  334.1  327.5
  420.0   7177  -16.3  -27.3     38   0.98    260     14  329.1  332.7  329.3
  400.0   7540  -19.1  -32.1     31   0.65    260     13  330.1  332.6  330.2
  399.0   7559  -19.3  -32.3     31   0.64    260     13  330.1  332.5  330.2
  395.7   7620  -19.7  -37.4     19   0.39    260     13  330.4  331.9  330.4
  392.0   7690  -20.1  -43.1     11   0.22    260     13  330.7  331.6  330.7
  358.0   8354  -26.3  -43.3     19   0.23    262     17  331.1  332.0  331.1
  350.0   8517  -27.1  -50.1      9   0.11    263     18  332.1  332.6  332.1
  345.0   8621  -27.3  -45.3     16   0.19    263     18  333.2  334.0  333.2
  320.5   9144  -31.7  -42.6     33   0.28    265     21  334.2  335.3  334.3
  311.0   9358  -33.5  -41.5     44   0.32    272     21  334.6  335.9  334.6
  307.0   9449  -34.1  -42.5     43   0.30    275     21  334.9  336.1  335.0
  300.0   9610  -35.3  -44.3     39   0.25    290     27  335.5  336.5  335.6
  293.9   9754  -36.5  -45.5     39   0.22    290     28  335.8  336.7  335.8
  289.0   9870  -37.5  -46.5     39   0.20    289     33  336.0  336.8  336.0
  274.0  10237  -40.1  -55.1     19   0.08    286     48  337.4  337.7  337.4
  269.0  10363  -40.9  -60.3     11   0.04    285     53  338.0  338.2  338.0
  265.0  10466  -41.5  -64.5      6   0.02    284     54  338.6  338.7  338.6
  257.0  10674  -43.1  -61.1     12   0.04    282     56  339.2  339.4  339.2
  250.0  10860  -44.1  -63.1     10   0.03    280     58  340.4  340.5  340.4
  233.0  11327  -47.9  -65.9     11   0.02    282     67  341.5  341.6  341.5
  224.0  11586  -48.3  -66.3     11   0.02    284     73  344.8  344.9  344.8
  215.0  11853  -50.5  -63.8     19   0.03    285     78  345.4  345.6  345.5
  213.9  11887  -50.8  -63.5     21   0.04    285     78  345.5  345.7  345.6
  207.0  12099  -52.5  -61.5     33   0.05    283     76  346.1  346.3  346.1
  200.0  12320  -54.1  -65.1     25   0.03    280     74  346.9  347.1  346.9
  193.0  12549  -55.5  -69.5     16   0.02    280     68  348.2  348.3  348.2
  173.0  13246  -57.3  -82.3      3   0.00    280     49  356.3  356.4  356.3
  168.5  13411  -58.3  -82.9      3   0.00    280     44  357.4  357.4  357.4
  152.9  14021  -61.9  -85.0      3   0.00    270     53  361.3  361.3  361.3
  152.0  14058  -62.1  -85.1      3   0.00    270     53  361.5  361.5  361.5
  150.0  14140  -62.5  -84.5      4   0.00    270     53  362.2  362.2  362.2
  138.0  14652  -63.5  -84.5      4   0.00    264     42  369.2  369.2  369.2
  131.7  14935  -65.1  -84.9      5   0.00    260     36  371.3  371.3  371.3
  128.0  15109  -66.1  -85.1      5   0.00    263     37  372.5  372.5  372.5
  125.3  15240  -65.7  -85.7      5   0.00    265     37  375.5  375.5  375.5
  125.0  15253  -65.7  -85.7      5   0.00    266     37  375.8  375.8  375.8
  122.0  15399  -66.9  -86.9      4   0.00    273     38  376.2  376.2  376.2
  119.1  15545  -67.2  -87.8      4   0.00    280     39  378.2  378.2  378.2
  117.0  15651  -67.5  -88.5      4   0.00    282     36  379.6  379.6  379.6
  114.0  15807  -66.7  -88.7      3   0.00    284     32  383.9  383.9  383.9
  107.6  16154  -68.6  -90.0      3   0.00    290     23  386.8  386.8  386.8
  104.0  16356  -69.7  -90.7      3   0.00    260     13  388.4  388.4  388.4
  100.0  16590  -68.7  -89.7      3   0.00    255     22  394.7  394.7  394.7
   91.4  17129  -68.9  -89.9      3   0.00    255     14  404.6  404.6  404.6
   88.0  17357  -66.5  -89.5      3   0.00    255     10  413.8  413.8  413.8
   83.5  17678  -67.2  -90.2      3   0.00    255      5  418.7  418.7  418.7
   77.1  18155  -68.3  -91.3      2   0.00    243      7  426.0  426.0  426.0
   75.4  18288  -67.3  -91.2      2   0.00    240      8  430.7  430.7  430.7
   73.3  18461  -66.1  -91.1      2   0.00    244      7  436.9  436.9  436.9
   70.0  18740  -66.7  -91.7      2   0.00    250      6  441.4  441.4  441.4
   68.3  18888  -66.7  -92.7      2   0.00    246      5  444.5  444.5  444.5
   58.8  19812  -62.5  -91.3      1   0.00    220      2  473.4  473.4  473.4
   50.0  20810  -57.9  -89.9      1   0.00     20      5  506.6  506.6  506.6
   46.0  21336  -55.9  -87.9      1   0.00    110     14  523.5  523.5  523.5
   45.2  21450  -55.5  -87.5      1   0.00    119      9  527.2  527.3  527.2
   43.9  21641  -56.2  -88.2      1   0.00    135      1  530.2  530.2  530.2
   43.6  21679  -56.3  -88.3      1   0.00    135      2  530.7  530.8  530.7
   41.8  21946  -55.4  -87.7      1   0.00    135     12  539.3  539.4  539.3
   37.2  22695  -52.9  -85.9      1   0.01    140     11  564.1  564.1  564.1
   33.0  23470  -53.2  -86.2      1   0.01    145     10  582.9  583.0  582.9
   31.5  23774  -53.4  -86.4      1   0.01    170     10  590.5  590.5  590.5
   30.0  24080  -53.5  -86.5      1   0.01     25      4  598.2  598.3  598.2
   29.8  24123  -53.5  -86.5      1   0.01     36      5  599.3  599.4  599.3
   28.6  24384  -52.0  -85.5      1   0.01    100      8  610.4  610.5  610.4
   27.3  24689  -50.2  -84.3      1   0.01    135     12  623.5  623.6  623.5
   26.1  24994  -48.5  -83.2      1   0.02    150     12  636.9  637.0  636.9
   25.4  25165  -47.5  -82.5      1   0.02    150      7  644.5  644.6  644.5
   24.9  25298  -48.0  -82.6      1   0.02    150      4  646.6  646.8  646.6
   24.3  25457  -48.7  -82.7      1   0.02    151      5  649.2  649.4  649.2
   22.2  26055  -45.9  -80.9      1   0.03    154     11  674.5  674.8  674.5
   21.7  26213  -46.0  -81.0      1   0.03    155     12  678.9  679.2  678.9
   20.7  26518  -46.0  -81.0      1   0.03    105     12  687.6  687.9  687.6
   20.0  26750  -46.1  -81.1      1   0.03    110     14  694.3  694.6  694.3
   19.9  26783  -46.3  -81.3      1   0.03    111     14  694.7  695.0  694.7
   18.9  27127  -47.6  -82.0      1   0.03    125     18  701.0  701.2  701.0
   18.4  27301  -48.3  -82.3      1   0.02    136     17  704.1  704.4  704.1
   18.0  27432  -47.6  -82.0      1   0.03    145     16  710.4  710.6  710.4
